year,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean
1982,1528.0,27.38021978021978,21.9,24.647802197802196,34.3,34.3,0.040934065934065934,43.2,0.2008241758241758
1983,1865.8,27.658516483516486,21.3,24.85686813186813,35.8,35.8,8.279395604395605,75.2,39.09395604395605
1984,2686.7,26.764383561643836,21.0,24.04082191780822,33.4,33.4,6.702465753424658,77.8,37.581917808219174
1985,1483.9,27.114246575342467,21.0,24.263835616438353,35.0,35.0,6.793698630136986,86.0,38.38575342465753
1986,2536.1,27.106575342465753,21.2,24.404109589041095,34.2,34.2,7.977260273972602,79.2,38.436164383561646
1987,2119.5,27.374728260869563,21.2,24.745108695652174,34.6,34.6,7.8062499999999995,65.2,39.016576086956526
1988,2582.1,27.223626373626374,21.0,24.629670329670333,34.7,34.7,7.311813186813187,66.2,38.097527472527474
1989,2469.1,26.928846153846155,21.1,24.125274725274725,34.5,34.5,7.69945054945055,73.4,40.00906593406593
1990,1523.8,27.59315068493151,21.1,24.801369863013697,35.0,35.0,7.317808219178082,77.4,36.51917808219178
1991,1877.0,27.44438356164384,22.0,24.667397260273972,34.1,34.1,7.928219178082192,59.0,35.730958904109585
1992,2263.6,27.349864498644987,21.1,24.377506775067747,34.7,34.7,7.296205962059621,70.2,37.72791327913279
1993,2183.4,27.427472527472528,21.7,24.61401098901099,34.2,34.2,6.898076923076923,76.0,36.160439560439556
1994,1924.7,27.6010989010989,20.5,24.731593406593404,34.2,34.2,7.904395604395604,85.3,35.2793956043956
1995,2332.2,27.58434065934066,21.8,24.726373626373626,34.1,34.1,6.435164835164835,76.7,33.675824175824175
1996,2418.0,27.501639344262298,22.1,24.540983606557376,34.4,34.4,6.742896174863389,72.0,33.657377049180326
1997,1118.9,28.247671232876712,22.0,25.312054794520545,35.1,35.1,8.156712328767123,79.2,32.13178082191781
1998,2633.1,28.278532608695652,22.5,25.280706521739127,36.0,36.0,5.402445652173912,65.9,33.08967391304348
1999,2124.2,27.51318681318681,21.6,24.703021978021976,34.4,34.4,5.179945054945055,56.5,31.937087912087915
2000,2370.3,27.482967032967032,20.2,24.681593406593407,34.3,34.3,5.544230769230769,67.7,31.56401098901099
2001,2783.1,27.615616438356167,21.5,24.87178082191781,34.0,34.0,6.099452054794521,73.4,31.293698630136987
2002,1748.9,28.088219178082195,22.0,25.252876712328764,34.8,34.8,8.138356164383561,52.6,32.681917808219175
2003,2391.2,27.765753424657536,22.0,25.073698630136985,34.3,34.3,7.279178082191781,54.0,31.09013698630137
2004,2244.9,27.84048913043478,21.1,25.105978260869566,35.1,35.1,7.494565217391305,55.8,31.08777173913043
2005,1830.3,28.014835164835162,21.3,25.105219780219777,35.4,35.4,6.505219780219781,59.4,31.25796703296703
2006,2745.1,27.749175824175826,22.1,25.053571428571427,34.6,34.6,6.623901098901099,57.2,30.84478021978022
2007,2886.2,27.538630136986303,21.8,24.784109589041098,34.0,34.0,5.449041095890411,66.6,30.954520547945204
2008,2325.1,27.47486338797814,21.8,24.749726775956283,34.1,34.1,5.752459016393443,52.6,30.482513661202187
2009,1921.4,27.927445652173912,21.8,25.03016304347826,35.0,35.0,7.7228260869565215,62.3,33.65298913043478
2010,2074.6,28.084615384615383,21.7,24.871703296703295,35.5,35.5,8.14010989010989,90.7,33.44230769230769
2011,2524.8,27.56758241758242,21.4,24.72857142857143,35.3,35.3,8.759615384615385,58.0,33.21043956043956
2012,2159.3,27.543561643835616,21.1,24.976986301369863,33.7,33.7,7.994794520547945,79.6,32.32493150684932
2013,2748.4,27.654794520547945,20.9,24.975616438356166,35.2,35.2,7.54986301369863,75.2,31.392876712328768
2014,1538.4,27.918356164383564,21.1,25.267123287671232,34.5,34.5,8.961369863013699,70.6,33.441095890410956
2015,1325.0,28.22472826086957,21.9,25.76684782608696,34.4,34.4,9.850815217391304,59.4,32.93396739130435
2016,1899.1,28.44478021978022,21.6,25.806043956043954,35.0,35.0,8.297252747252747,65.2,32.75027472527473
2017,2053.8,27.696153846153845,21.8,25.2478021978022,34.6,34.6,8.41043956043956,57.6,31.897527472527475
2018,1708.2,27.884383561643833,21.3,25.354520547945203,35.0,35.0,8.771780821917808,55.4,32.11287671232877
2019,1367.5,28.44301369863014,21.9,25.918356164383564,34.8,34.8,10.292328767123287,57.6,33.60931506849315
2020,2237.2,28.01544715447155,21.7,25.440650406504066,34.6,34.6,9.013279132791329,57.4,32.03983739837398
2021,2534.2,27.928296703296702,21.9,25.277747252747254,34.7,34.7,8.366208791208791,57.4,32.754120879120876
2022,2132.6,27.881043956043957,22.2,25.1728021978022,35.4,35.4,7.832142857142857,57.4,31.62115384615385
2023,302.6,26.513333333333332,22.4,24.43,34.2,34.2,9.1,48.2,34.873333333333335
