year_month,dengue_cases
2012-M01,338
2012-M02,258
2012-M03,231
2012-M04,363
2012-M05,338
2012-M06,468
2012-M07,601
2012-M08,436
2012-M09,322
2012-M10,520
2012-M11,368
2012-M12,389
2013-M01,825
2013-M02,1158
2013-M03,1137
2013-M04,2261
2013-M05,2356
2013-M06,3211
2013-M07,2721
2013-M08,1264
2013-M09,1959
2013-M10,1748
2013-M11,1669
2013-M12,1885
2014-M01,1811
2014-M02,1071
2014-M03,1057
2014-M04,1002
2014-M05,1231
2014-M06,2643
2014-M07,3090
2014-M08,1885
2014-M09,1810
2014-M10,1127
2014-M11,662
2014-M12,937
2015-M01,981
2015-M02,657
2015-M03,612
2015-M04,477
2015-M05,582
2015-M06,1034
2015-M07,1078
2015-M08,1168
2015-M09,991
2015-M10,940
2015-M11,1263
2015-M12,1520
2016-M01,2443
2016-M02,2467
2016-M03,1456
2016-M04,992
2016-M05,1028
2016-M06,802
2016-M07,958
2016-M08,1216
2016-M09,727
2016-M10,497
2016-M11,317
2016-M12,276
2017-M01,364
2017-M02,225
2017-M03,149
2017-M04,157
2017-M05,256
2017-M06,290
2017-M07,294
2017-M08,194
2017-M09,191
2017-M10,309
2017-M11,156
2017-M12,191
2018-M01,298
2018-M02,168
2018-M03,136
2018-M04,265
2018-M05,245
2018-M06,267
2018-M07,250
2018-M08,245
2018-M09,228
2018-M10,317
2018-M11,355
2018-M12,511
2019-M01,889
2019-M02,737
2019-M03,497
2019-M04,625
2019-M05,1168
2019-M06,1701
2019-M07,3004
2019-M08,2120
2019-M09,1620
2019-M10,954
2019-M11,1334
2019-M12,1349
2020-M01,1553
2020-M02,1531
2020-M03,1883
2020-M04,1418
2020-M05,2042
2020-M06,5584
2020-M07,6636
2020-M08,6825
2020-M09,2925
2020-M10,2291
2020-M11,1740
2020-M12,887
2021-M01,647
2021-M02,578
2021-M03,647
2021-M04,427
2021-M05,576
2021-M06,511
2021-M07,341
2021-M08,306
2021-M09,350
2021-M10,340
2021-M11,268
2021-M12,273
2022-M01,757
2022-M02,839
2022-M03,1741
2022-M04,3322
2022-M05,6458
2022-M06,5073
2022-M07,4210
2022-M08,3697
2022-M09,2012
2022-M10,1778
2022-M11,1116
2022-M12,1172
