month,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,total_rainfall,cumulative_total_rainfall,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound
1,27.031708810938675,22.445454545454545,24.71372116770664,32.95454545454545,32.95454545454545,2078.9,2078.9,9.928497359910695,64.8,51.46363636363637,10554,16.90909090909091,12937871,5948586
2,27.311262875055977,22.818181818181817,24.861341244961935,33.26363636363636,33.26363636363636,1130.4,3209.3,11.347514554411106,50.4,45.11818181818182,9689,17.90909090909091,11288976,5587524
3,28.0950146627566,23.3,25.378885630498534,34.054545454545455,34.054545454545455,1263.6,4472.9,9.820821114369501,56.9,46.32727272727273,9546,16.0,11535471,6956883
4,28.383333333333336,23.10909090909091,25.566666666666666,34.445454545454545,34.445454545454545,1857.3999999999999,6330.3,7.347272727272727,75.2,46.95454545454545,11309,18.181818181818183,11257406,5993338
5,28.738123167155425,23.254545454545454,26.003812316715543,34.127272727272725,34.127272727272725,1908.0,8238.3,7.511143695014663,53.6,48.527272727272724,16280,23.181818181818183,10979748,6619675
6,28.55484848484849,23.045454545454547,25.921212121212122,33.47272727272727,33.47272727272727,1496.2,9734.5,7.895454545454545,60.5,49.49090909090909,21584,33.0,11123449,7756888
7,28.424046920821116,22.71818181818182,25.926686217008797,32.95454545454545,32.95454545454545,1456.6,11191.1,9.552199413489737,70.6,52.38181818181818,23183,31.363636363636363,13173029,5663981
8,28.23343108504399,22.69090909090909,25.77243401759531,33.054545454545455,33.054545454545455,1606.6000000000001,12797.7,10.166862170087978,65.2,51.25454545454545,19356,25.09090909090909,12819047,5971492
9,28.151818181818182,22.354545454545455,25.504242424242424,33.199999999999996,33.199999999999996,1397.7,14195.4,8.851818181818182,79.6,53.82727272727273,13135,19.636363636363637,10611621,6604445
10,28.09882697947214,22.663636363636364,25.33460410557185,34.054545454545455,34.054545454545455,1864.0,16059.4,7.275366568914956,59.4,48.91818181818182,10821,17.818181818181817,11338871,6764254
11,27.430909090909093,22.89090909090909,24.84121212121212,33.345454545454544,33.345454545454544,2539.0,18598.4,6.3533333333333335,55.4,45.836363636363636,9248,16.09090909090909,11189987,8361760
12,27.116422287390026,22.70909090909091,24.731964809384166,33.26363636363636,33.26363636363636,3105.2999999999997,21703.7,8.050439882697948,49.7,44.67272727272728,9390,14.272727272727273,12965690,10476729
